Time (s), Voltage (V), Current (A), SOC (%)
231, 3.25, 0.20, 1.57, 
232, 3.24, 0.20, 1.58, 
233, 3.25, 0.20, 1.59, 
234, 3.25, 0.20, 1.59, 
235, 3.25, 0.20, 1.60, 
236, 3.25, 0.20, 1.61, 
237, 3.25, 0.20, 1.61, 
238, 3.25, 0.20, 1.62, 
239, 3.25, 0.20, 1.63, 
240, 3.25, 0.20, 1.63, 
241, 3.25, 0.20, 1.64, 
242, 3.26, 0.20, 1.65, 
243, 3.26, 0.20, 1.65, 
244, 3.26, 0.20, 1.66, 
245, 3.26, 0.20, 1.67, 
246, 3.26, 0.20, 1.68, 
247, 3.26, 0.20, 1.68, 
248, 3.26, 0.20, 1.69, 
249, 3.26, 0.20, 1.70, 
250, 3.26, 0.20, 1.70, 
251, 3.26, 0.20, 1.71, 
252, 3.26, 0.20, 1.72, 
253, 3.26, 0.20, 1.72, 
254, 3.26, 0.20, 1.73, 
255, 3.26, 0.20, 1.74, 
256, 3.26, 0.20, 1.74, 
257, 3.26, 0.20, 1.75, 
258, 3.26, 0.20, 1.76, 
259, 3.26, 0.20, 1.76, 
260, 3.26, 0.20, 1.77, 
261, 3.27, 0.20, 1.78, 
262, 3.27, 0.20, 1.78, 
263, 3.27, 0.20, 1.79, 
264, 3.27, 0.20, 1.80, 
265, 3.27, 0.20, 1.80, 
266, 3.27, 0.20, 1.81, 
267, 3.27, 0.20, 1.82, 
268, 3.27, 0.20, 1.82, 
269, 3.27, 0.20, 1.83, 
270, 3.27, 0.20, 1.84, 
271, 3.27, 0.20, 1.85, 
272, 3.27, 0.20, 1.85, 
273, 3.27, 0.20, 1.86, 
274, 3.27, 0.20, 1.87, 
275, 3.28, 0.20, 1.87, 
276, 3.28, 0.20, 1.88, 
277, 3.28, 0.20, 1.89, 
278, 3.28, 0.20, 1.89, 
279, 3.28, 0.20, 1.90, 
280, 3.28, 0.20, 1.91, 
281, 3.28, 0.20, 1.91, 
282, 3.28, 0.20, 1.92, 
283, 3.28, 0.20, 1.93, 
284, 3.28, 0.20, 1.93, 
285, 3.28, 0.20, 1.94, 
286, 3.28, 0.20, 1.95, 
287, 3.28, 0.20, 1.95, 
288, 3.28, 0.20, 1.96, 
289, 3.28, 0.20, 1.97, 
290, 3.28, 0.20, 1.97, 
291, 3.28, 0.20, 1.98, 
292, 3.28, 0.20, 1.99, 
293, 3.29, 0.20, 1.99, 
294, 3.28, 0.20, 2.00, 
295, 3.29, 0.20, 2.01, 
296, 3.28, 0.20, 2.02, 
297, 3.29, 0.20, 2.02, 
298, 3.28, 0.20, 2.03, 
299, 3.29, 0.20, 2.04, 
300, 3.29, 0.20, 2.04, 
301, 3.29, 0.20, 2.05, 
302, 3.29, 0.20, 2.06, 
303, 3.29, 0.20, 2.06, 
304, 3.29, 0.20, 2.07, 
305, 3.29, 0.20, 2.08, 
306, 3.30, 0.20, 2.08, 
307, 3.29, 0.20, 2.09, 
308, 3.29, 0.20, 2.10, 
309, 3.29, 0.20, 2.10, 
310, 3.29, 0.20, 2.11, 
311, 3.29, 0.20, 2.12, 
312, 3.30, 0.20, 2.12, 
313, 3.29, 0.20, 2.13, 
314, 3.30, 0.20, 2.14, 
315, 3.29, 0.20, 2.14, 
316, 3.30, 0.20, 2.15, 
317, 3.30, 0.20, 2.16, 
318, 3.30, 0.20, 2.16, 
319, 3.30, 0.20, 2.17, 
320, 3.30, 0.20, 2.18, 
321, 3.30, 0.20, 2.19, 
322, 3.30, 0.20, 2.19, 
323, 3.30, 0.20, 2.20, 
324, 3.30, 0.20, 2.21, 
325, 3.30, 0.20, 2.21, 
326, 3.30, 0.20, 2.22, 
327, 3.30, 0.20, 2.23, 
328, 3.30, 0.20, 2.23, 
329, 3.30, 0.20, 2.24, 
330, 3.30, 0.20, 2.25, 
331, 3.30, 0.20, 2.25, 
332, 3.30, 0.20, 2.26, 
333, 3.30, 0.20, 2.27, 
334, 3.30, 0.20, 2.27, 
335, 3.31, 0.20, 2.28, 
336, 3.31, 0.20, 2.29, 
337, 3.31, 0.20, 2.29, 
338, 3.31, 0.20, 2.30, 
339, 3.31, 0.20, 2.31, 
340, 3.31, 0.20, 2.31, 
341, 3.31, 0.20, 2.32, 
342, 3.31, 0.20, 2.33, 
343, 3.31, 0.20, 2.34, 
344, 3.31, 0.20, 2.34, 
345, 3.31, 0.20, 2.35, 
346, 3.31, 0.20, 2.36, 
347, 3.32, 0.20, 2.36, 
348, 3.31, 0.20, 2.37, 
349, 3.32, 0.20, 2.38, 
350, 3.31, 0.20, 2.38, 
351, 3.32, 0.20, 2.39, 
352, 3.31, 0.20, 2.40, 
353, 3.32, 0.20, 2.40, 
354, 3.32, 0.20, 2.41, 
355, 3.31, 0.20, 2.42, 
356, 3.32, 0.20, 2.42, 
357, 3.32, 0.20, 2.43, 
358, 3.32, 0.20, 2.44, 
359, 3.32, 0.20, 2.44, 
360, 3.32, 0.20, 2.45, 
361, 3.32, 0.20, 2.46, 
362, 3.32, 0.20, 2.46, 
363, 3.32, 0.20, 2.47, 
364, 3.32, 0.20, 2.48, 
365, 3.32, 0.20, 2.48, 
366, 3.32, 0.20, 2.49, 
367, 3.32, 0.20, 2.50, 
368, 3.32, 0.20, 2.51, 
369, 3.32, 0.20, 2.51, 
370, 3.32, 0.20, 2.52, 
371, 3.32, 0.20, 2.53, 
372, 3.33, 0.20, 2.53, 
373, 3.33, 0.20, 2.54, 
374, 3.33, 0.20, 2.55, 
375, 3.32, 0.20, 2.55, 
376, 3.33, 0.20, 2.56, 
377, 3.32, 0.20, 2.57, 
378, 3.33, 0.20, 2.57, 
379, 3.33, 0.20, 2.58, 
380, 3.33, 0.20, 2.59, 
381, 3.33, 0.20, 2.59, 
382, 3.33, 0.20, 2.60, 
383, 3.33, 0.20, 2.61, 
384, 3.33, 0.20, 2.61, 
385, 3.33, 0.20, 2.62, 
386, 3.33, 0.20, 2.63, 
387, 3.33, 0.20, 2.63, 
388, 3.34, 0.20, 2.64, 
389, 3.33, 0.20, 2.65, 
390, 3.34, 0.20, 2.65, 
391, 3.34, 0.20, 2.66, 
392, 3.33, 0.20, 2.67, 
393, 3.33, 0.20, 2.68, 
394, 3.34, 0.20, 2.68, 
395, 3.34, 0.20, 2.69, 
396, 3.34, 0.20, 2.70, 
397, 3.34, 0.20, 2.70, 
398, 3.34, 0.20, 2.71, 
399, 3.34, 0.20, 2.72, 
400, 3.34, 0.20, 2.72, 
401, 3.33, 0.20, 2.73, 
402, 3.34, 0.20, 2.74, 
403, 3.34, 0.20, 2.74, 
404, 3.34, 0.20, 2.75, 
405, 3.34, 0.20, 2.76, 
406, 3.34, 0.20, 2.76, 
407, 3.34, 0.20, 2.77, 
408, 3.34, 0.20, 2.78, 
409, 3.34, 0.20, 2.78, 
410, 3.34, 0.20, 2.79, 
411, 3.34, 0.20, 2.80, 
412, 3.34, 0.20, 2.80, 
413, 3.34, 0.20, 2.81, 
