Time (s), Voltage (V), Current (A), SOC (%)
255, 3.28, 0.60, 6.28, 
256, 3.28, 0.60, 6.30, 
257, 3.28, 0.60, 6.32, 
258, 3.28, 0.60, 6.34, 
259, 3.28, 0.60, 6.37, 
260, 3.28, 0.60, 6.39, 
261, 3.28, 0.60, 6.41, 
262, 3.29, 0.60, 6.43, 
263, 3.29, 0.60, 6.45, 
264, 3.29, 0.60, 6.47, 
265, 3.29, 0.60, 6.49, 
266, 3.29, 0.60, 6.51, 
267, 3.29, 0.60, 6.53, 
268, 3.29, 0.60, 6.55, 
269, 3.29, 0.60, 6.57, 
270, 3.29, 0.60, 6.59, 
271, 3.29, 0.60, 6.61, 
272, 3.29, 0.60, 6.64, 
273, 3.29, 0.60, 6.66, 
274, 3.29, 0.60, 6.68, 
275, 3.29, 0.60, 6.70, 
276, 3.29, 0.60, 6.72, 
277, 3.29, 0.60, 6.74, 
278, 3.29, 0.60, 6.76, 
279, 3.29, 0.60, 6.78, 
280, 3.29, 0.60, 6.80, 
281, 3.29, 0.60, 6.82, 
282, 3.29, 0.60, 6.84, 
283, 3.29, 0.59, 6.86, 
284, 3.29, 0.59, 6.88, 
285, 3.29, 0.59, 6.90, 
286, 3.29, 0.59, 6.93, 
287, 3.29, 0.59, 6.95, 
288, 3.29, 0.59, 6.97, 
289, 3.30, 0.59, 6.99, 
290, 3.29, 0.59, 7.01, 
291, 3.30, 0.59, 7.03, 
292, 3.29, 0.59, 7.05, 
293, 3.30, 0.59, 7.07, 
294, 3.29, 0.59, 7.09, 
295, 3.30, 0.59, 7.11, 
296, 3.30, 0.59, 7.13, 
297, 3.29, 0.59, 7.15, 
298, 3.30, 0.59, 7.17, 
299, 3.30, 0.59, 7.19, 
300, 3.30, 0.59, 7.21, 
301, 3.30, 0.59, 7.23, 
302, 3.30, 0.59, 7.25, 
303, 3.29, 0.59, 7.28, 
304, 3.30, 0.59, 7.30, 
305, 3.30, 0.59, 7.32, 
306, 3.30, 0.59, 7.34, 
307, 3.30, 0.59, 7.36, 
